Country,country,Cases (pre-vaccination),Deaths (pre-vaccination),YLDs (pre-vaccination),YLLs (pre-vaccination),DALYs (pre-vaccination),Cases (post-vaccination),Deaths (post-vaccination),YLDs (post-vaccination),YLLs (post-vaccination),DALYs (post-vaccination)
Argentina,ARG,57356.4662914834,37443.9162576468,29215.4457234153,953960.075827259,983175.521550672,41154.0466593989,26830.4340855026,20949.8270081769,682563.507501919,703513.334510097
Armenia,ARM,1715.73148459849,1262.59918971731,904.737221160582,26318.7911845459,27223.5284057065,1703.21458875904,1253.34898089971,898.125126361052,26124.542419315,27022.6675456761
Australia,AUS,8628.17334536306,4647.33401907195,4147.92879403599,98218.6235590255,102366.552353061,3060.12130565671,1640.74538449203,1468.38681454523,34623.0011535856,36091.3879681308
Belgium,BEL,5249.49280076139,2383.80420313709,2329.37881816711,49367.4107233226,51696.7895414897,2632.12768107076,1191.68121595481,1166.75827668151,24641.9887080475,25808.746984729
Bulgaria,BGR,5540.04433966542,3019.01298971212,2593.57223712671,67536.211396298,70129.7836334246,5231.96506253516,2850.45474716192,2449.09693618895,63754.2995852715,66203.3965214605
Bahamas,BHS,621.573114012417,457.314022767745,333.683292348044,9738.28557498586,10071.9688673339,598.027910870255,440.00213749187,321.050045742317,9365.55147287331,9686.60151861565
Belize,BLZ,942.971952241502,919.2210850495,577.36256835548,18662.6339496942,19239.9965180497,923.111710598143,899.848858936764,565.200873632154,18266.7575208003,18831.9583944324
Bolivia,BOL,35269.2511911717,26755.1812340745,18809.8628253472,603858.007153589,622667.869978936,31716.481965215,24051.0447572877,16911.6939532165,543211.435119808,560123.129073025
Brazil,BRA,259057.650978908,156216.946194675,122630.166666431,3492027.39657435,3614657.56324078,174127.103211094,104836.278495095,82376.0674387355,2340435.83403383,2422811.90147257
Barbados,BRB,406.254599778669,276.251645484993,207.80145722559,5489.45257778282,5697.25403500841,382.667553873709,260.201824206311,195.736682888871,5168.73094133162,5364.46762422049
Brunei,BRN,565.506179284412,185.115416879515,221.216544689742,5417.26069709101,5638.47724178076,158.180538923867,51.7266524625933,61.8562838145924,1502.84125451942,1564.69753833401
Bhutan,BTN,962.941929120043,643.198384543321,466.004997092423,17165.6899137443,17631.6949108367,271.95754796285,181.60859624303,131.593544430396,4839.97281100529,4971.56635543569
Botswana,BWA,8243.37957574689,5734.37725687972,4176.52447584891,106228.637898336,110405.162374185,5522.32005854325,3836.01242493728,2796.16334229029,70948.7558387383,73744.9191810285
Canada,CAN,12023.5231370824,6881.25294253512,5884.41268605083,160576.257885847,166460.670571898,4879.89125822553,2780.69787561088,2383.98610575622,64770.150275927,67154.1363816833
Switzerland,CHE,1915.49161884909,1041.36281616186,911.748595722091,18953.8827205668,19865.631316289,877.124304411574,476.286529143187,417.320475374078,8663.83829590882,9081.15877128291
Chile,CHL,18967.0705857541,13017.710636738,9778.17631959159,253427.489028239,263205.665347831,16716.7331459352,11465.2073286072,8615.54260286425,223097.399606333,231712.942209197
Colombia,COL,80412.6813246825,55105.3480803805,40537.8724866574,1069286.46569366,1109824.33818032,56054.4205720708,38388.0830752231,28250.360460445,744472.821623505,772723.182083951
Cyprus,CYP,452.303923850002,564.687691083833,338.034088002527,9203.03536639013,9541.06945439266,364.947149825007,454.225885478786,272.216274182956,7396.92776333874,7669.1440375217
Germany,DEU,31249.7878389748,15711.8500773855,14580.5353942699,338032.431662674,352612.967056945,19964.1898414106,10028.7962796297,9311.615418224,215659.144495289,224970.759913513
Denmark,DNK,3485.90209445734,1623.36610563944,1559.08944378549,29654.0069860813,31213.0964298668,819.473202550577,381.325702797799,366.409572579416,6963.8365083026,7330.24608088201
Ecuador,ECU,37458.0326921178,26298.0576544693,18990.4095948175,450587.677667118,469578.087261935,26640.9159811554,18676.0091734201,13497.9330841563,319639.169196202,333137.102280358
Spain,ESP,13399.8169480847,6679.20970686631,6105.38988470925,154054.483567436,160159.873452146,5030.17509599091,2497.55880483634,2288.1223848916,57456.6625005779,59744.7848854694
Estonia,EST,1226.65832535352,429.595403128617,489.873223452689,9645.64397765205,10135.5172011047,1038.79707884841,363.398691512992,414.726580882661,8151.46399822258,8566.19057910524
Ethiopia,ETH,274986.488529781,221854.420641968,140501.402138703,4738692.14992486,4879193.55206355,237084.446562872,191222.619309458,121118.376524184,4077281.30407128,4198399.68059546
Finland,FIN,1507.07602799903,659.586212820472,657.483635400987,13882.7564727036,14540.2401081046,861.542298324348,375.732338023634,375.394011697516,7897.89296366802,8273.28697536554
Fiji,FJI,2451.15264937976,1996.44355731783,1350.87737023226,35408.5658583695,36759.4432286018,1562.35595386731,1270.46571737555,860.479731915745,22499.8398856739,23360.3196175897
France,FRA,32147.2980485354,15283.9086367494,14235.7337969776,349395.730777017,363631.464573994,24365.520284429,11581.6716499053,10789.0938957289,264699.626985758,275488.720881487
Micronesia (Federated States of),FSM,340.442321458087,261.541616829242,172.474919448639,5190.43720769212,5362.91212714077,321.623248079352,246.969157017494,162.90125415946,4900.10004354057,5063.00129770004
United Kingdom,GBR,29989.6893489533,11093.0451691212,12262.7483087188,265723.229745255,277985.978053974,9597.73707771365,3534.98868754858,3919.15423442972,84541.7801686614,88460.9344030911
Gambia,GMB,12456.6095271328,11155.2037558709,6708.61436146131,145544.966068852,152253.580430314,11727.8532484552,10499.6223790296,6315.19944378128,136974.523223675,143289.722667456
Guatemala,GTM,47673.8286606438,34263.9579576372,23778.5017054868,657412.923895054,681191.42560054,47222.9577595428,33938.9012864951,23553.3376751882,651147.45015074,674700.787825928
Guyana,GUY,2506.81879705365,1581.69283301609,1186.56512823654,30236.3566075857,31422.9217358222,2458.51820395949,1551.09984811453,1163.66354223249,29647.5649436681,30811.2284859006
Honduras,HND,20362.2252529319,13979.9924205699,9897.96648356648,350822.664113512,360720.630597078,18765.7009453106,12884.1690401012,9122.25623919784,323120.193937778,332242.450176976
